

ATOP - raspberrypi     2023/11/15  19:55:18     ----------------     19s elapsed
PRC | sys   13.18s | user  10.56s | #proc    169 | #zombie    0 | #exit      4 |
CPU | sys     100% | user     82% | irq       2% | idle    167% | wait     49% |
cpu | sys      29% | user     20% | irq       1% | idle     39% | cpu000 w 11% |
cpu | sys      24% | user     24% | irq       1% | idle     37% | cpu001 w 15% |
cpu | sys      25% | user     18% | irq       0% | idle     47% | cpu003 w 10% |
cpu | sys      22% | user     19% | irq       0% | idle     45% | cpu002 w 13% |
CPL | avg1    1.77 | avg5    0.38 | avg15   0.12 | csw    66202 | intr  181455 |
MEM | tot   909.6M | free  572.7M | cache 156.7M | buff   20.3M | slab   42.7M |
SWP | tot   100.0M | free  100.0M | swcac   0.0M | vmcom 561.6M | vmlim 554.8M |
DSK |      mmcblk0 | busy     66% | read    4436 | write     52 | avio 2.80 ms |
NET | transport    | tcpi       8 | tcpo       8 | udpi      24 | udpo      11 |
NET | network      | ipi       49 | ipo       39 | ipfrw      0 | deliv     40 |
NET | wlan0     0% | pcki      29 | pcko      21 | si    1 Kbps | so    1 Kbps |
NET | lo      ---- | pcki      22 | pcko      22 | si    0 Kbps | so    0 Kbps |
                   *** system and process activity since boot ***
    PID VSTACK  VSIZE  RSIZE  PSIZE  VGROW  RGROW SWAPSZ  MEM CMD            
    621   132K   1.1G 46624K     0K   1.1G 46624K     0K   5% Xorg           
    601   132K 30420K 15928K     0K 30420K 15928K     0K   2% vncserver-x11- 
    140   132K 49108K 14904K     0K 49108K 14904K     0K   2% systemd-journa 
    521   132K 386.5M 12816K     0K 386.5M 12816K     0K   1% udisksd        
      1   132K 99688K 10256K     0K 99688K 10256K     0K   1% systemd        
    614   132K 238.5M  9600K     0K 238.5M  9600K     0K   1% ModemManager   
    460   132K 233.5M  9596K     0K 233.5M  9596K     0K   1% polkitd        
    627   132K 169.9M  9564K     0K 169.9M  9564K     0K   1% cups-browsed   
    681   132K 162.6M  9556K     0K 162.6M  9556K     0K   1% lightdm        
    550   132K 15856K  9364K     0K 15856K  9364K     0K   1% python         
    427   132K 490.7M  9248K     0K 490.7M  9248K     0K   1% brltty         
    686   132K 16176K  8632K     0K 16176K  8632K     0K   1% systemd        
    599   132K 230.8M  8260K     0K 230.8M  8260K     0K   1% lightdm        
    588   132K 29564K  7908K     0K 29564K  7908K     0K   1% cupsd          
    178   132K 22872K  7756K     0K 22872K  7756K     0K   1% systemd-udevd  
    185   132K 24540K  7544K     0K 24540K  7544K     0K   1% systemd-udevd  
    181   132K 25508K  7536K     0K 25508K  7536K     0K   1% systemd-udevd  
    182   132K 21812K  6812K     0K 21812K  6812K     0K   1% systemd-udevd  
    175   132K 21980K  6808K     0K 21980K  6808K     0K   1% systemd-udevd  
    579   712K  7572K  6628K     0K  7572K  6628K     0K   1% atop           
    177   132K 23908K  6604K     0K 23908K  6604K     0K   1% systemd-udevd  
    728   132K  6992K  6560K     0K  6992K  6560K     0K   1% atop           
